Average,Count,Minimum,Maximum,percentile_Average_0,percentile_Average_1,percentile_Average_25,percentile_Average_50,percentile_Average_75,percentile_Average_99,percentile_Average_100
117,70415,15,11558,26,56,81,96,123,416,2718
117,70415,15,11558,26,56,81,96,123,416,2718
